iter	TotalF1	MultiClass
0	0.7489713567	1.207546335
1	0.7649922191	1.015043209
2	0.7800641168	0.8877695828
3	0.7876704523	0.794971453
4	0.7922362082	0.7275329025
5	0.8001416796	0.6707547962
6	0.8048076524	0.6238779191
7	0.8096072326	0.5876591433
8	0.8143098459	0.5575697959
9	0.8173024653	0.5341001193
10	0.8211877366	0.5099862227
11	0.8242163846	0.4898652663
12	0.8269601964	0.4750222734
13	0.8288811852	0.462689519
14	0.8307120842	0.4532962663
15	0.833978925	0.4399342178
16	0.836391976	0.4323039633
17	0.8380402251	0.4242342282
18	0.8390895878	0.4194215166
19	0.8416975026	0.4103385946
20	0.8433623863	0.4067879333
21	0.8452137012	0.4004736471
22	0.8467101748	0.3949859006
23	0.8482541459	0.3900744637
24	0.8496446772	0.3842202557
25	0.8507054849	0.3809748163
26	0.8523341697	0.3775290302
27	0.8530221791	0.3740435459
28	0.8544241898	0.3694987007
29	0.855666531	0.3656459088
30	0.8568904297	0.3633029239
31	0.8580678604	0.3606091617
32	0.8589860021	0.3572064257
33	0.8598740718	0.3543768104
34	0.8608279202	0.3524768204
35	0.8618516902	0.3494416847
36	0.8628360374	0.3468279375
37	0.8636832848	0.3443533298
38	0.8642581244	0.3429626829
39	0.8650409126	0.3413232053
40	0.8657052267	0.3396917324
41	0.866552491	0.3372139033
42	0.8674200824	0.3356201113
43	0.8680248165	0.3334218303
44	0.8687607745	0.3316116823
45	0.8695028619	0.329940869
46	0.870052432	0.328561676
47	0.8705529181	0.3272261837
48	0.8713676298	0.324511043
49	0.8718601245	0.323161819
50	0.8722017599	0.3222022573
51	0.8729991663	0.3202470801
52	0.8734399755	0.3187170007
53	0.8740444995	0.317621586
54	0.8744629414	0.3162750629
55	0.8748554134	0.3153241893
56	0.8753351434	0.3140784414
57	0.87597402	0.3129055498
58	0.8763032526	0.3119216484
59	0.8768863975	0.310675868
60	0.8771717785	0.3093047123
61	0.8775616785	0.3081942318
62	0.8780677727	0.3069053038
63	0.8785988288	0.3052893523
64	0.8791073914	0.3042955915
65	0.8796385736	0.3035593494
66	0.880082929	0.3025690052
67	0.8804109238	0.3018094973
68	0.8807888872	0.3006458795
69	0.8811487619	0.2997276106
70	0.8814093348	0.2991822136
71	0.8818282202	0.2979827696
72	0.882093568	0.2974124472
73	0.8824926947	0.2962488619
74	0.8829810276	0.29492798
75	0.88342867	0.2939897318
76	0.8836771566	0.2932055263
77	0.8840357557	0.2924868231
78	0.8844709685	0.2916498382
79	0.8847888834	0.2910007373
80	0.8851125153	0.2900079527
81	0.885525617	0.2890708108
82	0.8857877892	0.2884306583
83	0.8861032662	0.2878178066
84	0.886358614	0.2872061588
85	0.8867873419	0.2862548948
86	0.8871035634	0.2856865898
87	0.8873661787	0.2850680762
88	0.8875862913	0.2845355649
89	0.8879167312	0.2837780419
90	0.8881938776	0.2831337243
91	0.8886486173	0.282023862
92	0.8890518483	0.2813727436
93	0.8894264928	0.2805869762
94	0.8896754249	0.280072199
95	0.8900380501	0.2790711167
96	0.8901402074	0.2785646696
97	0.8903207085	0.2780436122
98	0.890812462	0.2772344488
99	0.8910461777	0.2767460938
100	0.8913080135	0.2760164247
101	0.8914837135	0.275608768
102	0.8917985723	0.2747510554
103	0.8920553194	0.2742131425
104	0.8921940925	0.2738412143
105	0.8925603818	0.2730086549
106	0.892752329	0.2725859323
107	0.8931588226	0.2717688943
108	0.8933543766	0.2712386445
109	0.8936002403	0.2707127875
110	0.8938411383	0.2700660783
111	0.8940089607	0.269672495
112	0.8942687898	0.2691626149
113	0.8944449004	0.26873999
114	0.894724161	0.2681108847
115	0.8948969942	0.2676599665
116	0.895159631	0.2673114506
117	0.8954981492	0.2665564983
118	0.8956750115	0.2660150548
119	0.8958898512	0.2655206474
120	0.896088561	0.2651656886
121	0.8962422304	0.2648204755
122	0.896428519	0.264295855
123	0.896620467	0.2639958883
124	0.8967487853	0.263647893
125	0.8969629289	0.2631822181
126	0.8972031507	0.2627053821
127	0.8973353811	0.2623380746
128	0.8976918581	0.2615227449
129	0.8979136634	0.2611031949
130	0.8980748059	0.2606129201
131	0.8983632359	0.2600080405
132	0.8986278671	0.2593317202
133	0.8988491377	0.2589385599
134	0.8991296952	0.2584121823
135	0.8993683692	0.2578496694
136	0.8994544002	0.2574703873
137	0.8995423396	0.2570586306
138	0.8997188592	0.256569641
139	0.8999579361	0.2560936999
140	0.900181847	0.2556640789
141	0.900377539	0.2552274782
142	0.9006134742	0.2548207163
143	0.900764701	0.2544201695
144	0.9009382158	0.2540897457
145	0.901182796	0.2534009464
146	0.9013265822	0.2530591825
147	0.9015997429	0.2526337916
148	0.9017195837	0.2523869133
149	0.901897222	0.2520455887
150	0.902252373	0.2514762425
151	0.9023868056	0.2511304436
152	0.9025636115	0.2507399353
153	0.9027796806	0.2504176138
154	0.903027385	0.2500336948
155	0.9032325531	0.2496086782
156	0.9032425782	0.2492399389
157	0.9034365769	0.2487294244
158	0.9036803666	0.2483307811
159	0.9037739663	0.2479967128
160	0.9039419865	0.2476480668
161	0.904114789	0.2472974684
162	0.9043281958	0.2469671258
163	0.904532327	0.2464596375
164	0.9046306815	0.2461455485
165	0.904844565	0.2459017452
166	0.9049173678	0.2455512932
167	0.9051142898	0.2451393901
168	0.905228198	0.2448762094
169	0.9054156888	0.2446296728
170	0.9055519612	0.2443228727
171	0.9056862896	0.2440335627
172	0.905786631	0.2437577404
173	0.9059608667	0.2433508321
174	0.9061090379	0.2430192042
175	0.9063616544	0.2425803746
176	0.906501538	0.2422190543
177	0.9066427036	0.2419794811
178	0.9068851646	0.2414643948
179	0.9070608845	0.2410569333
180	0.907248454	0.2407604646
181	0.9074215261	0.2404535018
182	0.9074379198	0.2402512679
183	0.9075981259	0.2399627877
184	0.9078018168	0.2396133281
185	0.9079459954	0.2391999282
186	0.9081629989	0.2388505825
187	0.9083209501	0.2385137971
188	0.9085224994	0.2381050503
189	0.9086152876	0.2378498744
190	0.9087920446	0.2375841557
191	0.9088119886	0.2373366103
192	0.9089464959	0.2370643348
193	0.9090496983	0.2367679962
194	0.9091545529	0.2365207762
195	0.9093222786	0.2362224039
196	0.9094116624	0.2359712629
197	0.9095129157	0.2357379374
198	0.9096999257	0.2353812052
199	0.9099440708	0.2350441107
200	0.9100057001	0.2347548984
201	0.9101960998	0.2343768365
202	0.9103184856	0.2341343835
203	0.9105196848	0.2337105709
204	0.9106224771	0.2334966552
205	0.9107719587	0.2332286099
206	0.9109056312	0.2330436383
207	0.9109217419	0.2328343107
208	0.9110662779	0.2324345123
209	0.9112494243	0.2321271103
210	0.9113645427	0.2318249959
211	0.9114795396	0.2316282449
212	0.9116252852	0.2313408873
213	0.9117769193	0.2309960484
214	0.911928057	0.2307196566
215	0.9121104292	0.230364161
216	0.9122257213	0.2300146038
217	0.9125271472	0.2294071536
218	0.9126079119	0.229176171
219	0.9127635405	0.2288939058
220	0.9128319445	0.2286576354
221	0.9129455857	0.2283236484
222	0.913079928	0.2280225754
223	0.9131971911	0.2278444533
224	0.9132946845	0.2276170012
225	0.9134054313	0.2273327999
226	0.9135637769	0.2270479316
227	0.9137249226	0.2267282783
228	0.9139134342	0.2262674681
229	0.9141291691	0.2259440565
230	0.914224442	0.2256775405
231	0.9143948577	0.2253890928
232	0.9145858051	0.2249953143
233	0.914654287	0.2247902169
234	0.9147791035	0.2245845826
235	0.9149189273	0.2243193031
236	0.9150743335	0.2240632486
237	0.9152037844	0.2238073894
238	0.9152826286	0.223567198
239	0.9154317024	0.2232154932
240	0.9156380385	0.2228474209
241	0.9157481006	0.2226584144
242	0.9158464699	0.2225029888
243	0.9159614942	0.2222655958
244	0.9161385873	0.2219507096
245	0.9162346234	0.221682225
246	0.9163442543	0.221471124
247	0.9164658461	0.2212133286
248	0.9165872671	0.2209293877
249	0.9166948001	0.2206458209
250	0.9168997822	0.2203224907
251	0.9169696863	0.2200991385
252	0.9171250264	0.2199161518
253	0.9171727413	0.2196749354
254	0.9172378421	0.2194385512
255	0.9174684663	0.2191895578
256	0.9175508083	0.2189194787
257	0.9176068768	0.2187014142
258	0.9176712751	0.2185275549
259	0.9177380563	0.2183479198
260	0.9178703932	0.2180813712
261	0.9178736436	0.2179351543
262	0.9180092908	0.2177404696
263	0.918167766	0.217514075
264	0.9183346607	0.2172491209
265	0.9184090709	0.2170092224
266	0.9185832187	0.2167316267
267	0.9188073989	0.2162854105
268	0.9189213417	0.2160851289
269	0.9190222229	0.2158910462
270	0.9191144158	0.2157126638
271	0.9191796896	0.21554432
272	0.9192784489	0.2153578515
273	0.919414959	0.2151680152
