iter	Passed	Remaining
0	190	152379
1	349	139268
2	498	132553
3	661	131658
4	830	132060
5	1023	135488
6	1240	140508
7	1439	142516
8	1630	143299
9	1822	143994
10	2023	145105
11	2236	146891
12	2503	151553
13	2712	152274
14	2944	154075
15	3139	153825
16	3390	156166
17	3574	155275
18	3796	156047
19	3988	155547
20	4204	155969
21	4436	156902
22	4659	157414
23	4872	157530
24	5037	156165
25	5207	155021
26	5449	156007
27	5615	154840
28	5823	154833
29	5973	153323
30	6185	153452
31	6381	153160
32	6579	152927
33	6806	153343
34	6987	152722
35	7213	153095
36	7394	152492
37	7577	151943
38	7791	152041
39	7992	151861
40	8190	151631
41	8372	151103
42	8550	150525
43	8726	149943
44	8944	150076
45	9184	150540
46	9361	149980
47	9599	150399
48	9837	150782
49	9994	149919
50	10152	149108
51	10333	148644
52	10534	148476
53	10737	148334
54	10870	147241
55	11072	147101
56	11228	146367
57	11453	146531
58	11627	146030
59	11869	146390
60	12067	146195
61	12294	146348
62	12443	145566
63	12670	145715
64	12874	145579
65	13067	145323
66	13292	145422
67	13460	144896
68	13614	144230
69	13805	143966
70	13955	143291
71	14223	143813
72	14370	143118
73	14553	142781
74	14733	142422
75	14951	142435
76	15105	141830
77	15304	141662
78	15538	141815
79	15812	142310
80	16010	142116
81	16219	142020
82	16483	142393
83	16705	142393
84	16925	142375
85	17173	142579
86	17352	142213
87	17552	142013
88	17743	141750
89	17901	141224
90	18081	140876
91	18253	140469
92	18487	140547
93	18718	140590
94	18957	140687
95	19155	140477
96	19291	139813
97	19561	140122
98	19749	139840
99	19978	139850
100	20125	139281
101	20300	138919
102	20456	138426
103	20666	138304
104	20850	138013
105	21041	137759
106	21218	137427
107	21383	137015
108	21612	137011
109	21786	136663
110	21975	136407
111	22101	135767
112	22267	135381
113	22420	134914
114	22574	134466
115	22723	133990
116	22922	133810
117	23117	133608
118	23296	133317
119	23470	132996
120	23666	132807
121	23821	132383
122	23961	131883
123	24103	131402
124	24285	131140
125	24475	130923
126	24647	130610
127	24812	130266
128	24989	129982
129	25229	130028
130	25450	129974
131	25643	129772
132	25795	129367
133	25999	129218
134	26210	129112
135	26362	128713
136	26584	128655
137	26707	128116
138	26880	127828
139	27057	127555
140	27273	127469
141	27511	127483
142	27698	127256
143	27838	126819
144	27966	126330
145	28180	126234
146	28366	126008
147	28514	125618
148	28642	125143
149	28855	125038
150	29094	125049
151	29324	125016
152	29531	124881
153	29749	124794
154	29943	124604
155	30137	124413
156	30349	124298
157	30545	124114
158	30736	123910
159	30924	123696
160	31110	123477
161	31318	123342
162	31471	122989
163	31608	122580
164	31796	122367
165	31954	122042
166	32139	121823
167	32319	121581
168	32461	121200
169	32634	120940
170	32833	120774
171	33016	120547
172	33198	120320
173	33402	120172
174	33553	119833
175	33746	119645
176	33968	119563
177	34124	119243
178	34313	119042
179	34461	118700
180	34644	118480
181	34787	118123
182	34947	117829
183	35148	117670
184	35334	117463
185	35575	117438
186	35800	117355
187	35991	117164
188	36183	116972
189	36381	116803
190	36609	116727
191	36805	116549
192	36965	116258
193	37134	115998
194	37275	115648
195	37481	115503
196	37645	115229
197	37839	115045
198	38009	114792
199	38224	114673
200	38423	114506
201	38586	114231
202	38801	114110
203	38993	113922
204	39119	113542
205	39317	113370
206	39495	113145
207	39641	112824
208	39789	112514
209	39936	112202
210	40165	112119
211	40306	111792
212	40471	111534
213	40668	111363
214	40836	111114
215	41014	110890
216	41218	110739
217	41395	110514
218	41535	110192
219	41712	109969
220	41894	109760
221	42094	109598
222	42288	109420
223	42469	109207
224	42658	109017
225	42856	108848
226	43040	108644
227	43222	108436
228	43474	108402
229	43701	108304
230	43904	108146
231	44098	107966
232	44312	107832
233	44525	107699
234	44702	107477
235	44889	107278
236	45070	107066
237	45281	106926
238	45492	106783
